"SBPT-ID","SiteID","BlockID","PlotID","TrtmtID"
1,62,1,1,4
2,62,1,2,2
3,62,1,3,1
4,62,1,4,3
5,62,2,1,2
6,62,2,2,1
7,62,2,3,4
8,62,2,4,3
9,62,3,1,2
10,62,3,2,3
11,62,3,3,1
12,62,3,4,4
13,62,4,1,2
14,62,4,2,3
15,62,4,3,4
16,62,4,4,1
17,62,5,1,3
18,62,5,2,2
19,62,5,3,1
20,62,5,4,4
21,62,6,1,3
22,62,6,2,1
23,62,6,3,4
24,62,6,4,2
25,66,1,1,2
26,66,1,2,1
27,66,1,3,4
28,66,1,4,5
29,66,1,5,6
30,66,1,6,3
31,66,2,1,5
32,66,2,2,4
33,66,2,3,2
34,66,2,4,3
35,66,2,5,1
36,66,2,6,6
37,66,3,1,2
38,66,3,2,5
39,66,3,3,4
40,66,3,4,6
41,66,3,5,1
42,66,3,6,3
43,66,4,1,3
44,66,4,2,2
45,66,4,3,1
46,66,4,4,4
47,66,4,5,5
48,66,4,6,6
49,66,5,1,5
50,66,5,2,4
51,66,5,3,1
52,66,5,4,6
53,66,5,5,2
54,66,5,6,3
55,66,6,1,2
56,66,6,2,5
57,66,6,3,4
58,66,6,4,3
59,66,6,5,1
60,66,6,6,6
